"Name","Type","Write","Description","Object Default","Version"
"Device.DeviceInfo.FirmwareImage.{i}.","object(0:)","R","Top-level object for mapping firmware images.
This is a static table – the number of object instances in this table is defined by the firmware that is currently running.
At most one entry in this table can exist with a given value for Alias.","-","2.12"
"Device.Time.","object","R","This object contains parameters relating an NTP or SNTP time client in the CPE.","-","2.0"
"Device.UserInterface.","object","R","This object contains parameters relating to the user interface of the CPE.","-","2.0"
"Device.UserInterface.RemoteAccess.","object","R","This object contains parameters relating to remotely accessing the CPE’s user interface.
Remote access is defined as any entity not of a local subnet attempting to connect to the CPE.
Remote access requires user authentication. To provide remote access authentication the CPE MUST support a “User” table with at least one instance that has “RemoteAccessCapable” set to true.","-","2.0"
"Device.UserInterface.LocalDisplay.","object","R","This object describes how to remotely manage the initial positioning of a user interface on a device’s local display.","-","2.0"
"Device.UserInterface.Messages.","object","R","Definition of user information message displays.","-","2.11"
"Device.InterfaceStack.{i}.","object(0:)","R","This table contains information about the relationships between the multiple layers of interface objects ([Section 4.3/TR-181i2]). In particular, it contains information on which interfaces run on top of which other interfaces.
This table is auto-generated by the CPE based on the LowerLayers parameters on individual interface objects.
Each table row represents a “link” between two interface objects, a higher-layer interface object (referenced by HigherLayer) and a lower-layer interface object (referenced by LowerLayer). Consequently, if a referenced interface object is deleted, the CPE MUST delete the corresponding Device.InterfaceStack.{i}. row(s) that had referenced it.
At most one entry in this table can exist with the same values for both HigherLayer and LowerLayer, or with a given value for Alias.","-","2.0"
"Device.DSL.","object","R","This object models DSL lines, DSL channels, DSL bonding, and DSL diagnostics. The specific interface objects defined here are Line, Channel, and BondingGroup. Each Line models a layer 1 DSL Line interface, and each Channel models a layer 1 DSL Channel interface where multiple channels can run over a DSL line. In the case where bonding is configured, it is expected that BondingGroup is stacked above the Channel instances within its group.","-","2.0"
"Device.DSL.Line.{i}.","object(0:)","R","DSL Line table (a stackable interface object as described in [Section 4.2/TR-181i2]).
This table models physical DSL lines.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DSL.Line.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DSL.Line.{i}.Stats.Total.","object","R","This object contains DSL line total statistics. See [Chapter 7.2.6/G.997.1].
Note: The Device.DSL.Line.{i}.Stats.Total. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Line.{i}.Stats.Showtime.","object","R","This object contains DSL line statistics accumulated since the most recent DSL Showtime. See [Chapter 7.2.6/G.997.1].
Note: The Device.DSL.Line.{i}.Stats.Showtime. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Line.{i}.Stats.LastShowtime.","object","R","This object contains DSL line statistics accumulated since the second most recent DSL Showtime. See [Chapter 7.2.6/G.997.1].
Note: The Device.DSL.Line.{i}.Stats.LastShowtime. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Line.{i}.Stats.CurrentDay.","object","R","This object contains DSL line statistics accumulated during the current day. See [Chapter 7.2.6/G.997.1].
Note: The Device.DSL.Line.{i}.Stats.CurrentDay. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Line.{i}.Stats.QuarterHour.","object","R","This object contains DSL line statistics accumulated during the current quarter hour. See [Chapter 7.2.6/G.997.1].
Note: The Device.DSL.Line.{i}.Stats.QuarterHour. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Line.{i}.TestParams.","object","R","This object contains the DSL line test parameters that are available during the L0 (i.e., Showtime) state.","-","2.0"
"Device.DSL.Line.{i}.DataGathering.","object","R","This object models the DSL data gathering function at the VTU-R. This only applies to VDSL2.
Note: see ITU-T Recommendation [G.993.2].","-","2.8"
"Device.DSL.Channel.{i}.","object(0:)","R","DSL Channel table (a stackable interface object as described in [Section 4.2/TR-181i2]).
This table models DSL channel(s) on top of physical DSL lines.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DSL.Channel.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DSL.Channel.{i}.Stats.Total.","object","R","This object contains DSL channel total statistics [G.997.1].
Note: The Device.DSL.Channel.{i}.Stats.Total. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Channel.{i}.Stats.Showtime.","object","R","This object contains DSL channel statistics accumulated since the most recent DSL Showtime [G.997.1].
Note: The Device.DSL.Channel.{i}.Stats.Showtime. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Channel.{i}.Stats.LastShowtime.","object","R","This object contains DSL channel statistics accumulated since the second most recent DSL Showtime [G.997.1].
Note: The Device.DSL.Channel.{i}.Stats.LastShowtime. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Channel.{i}.Stats.CurrentDay.","object","R","This object contains DSL channel statistics accumulated during the current day [G.997.1].
Note: The Device.DSL.Channel.{i}.Stats.CurrentDay. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.Channel.{i}.Stats.QuarterHour.","object","R","This object contains DSL channel statistics accumulated during the current quarter hour [G.997.1].
Note: The Device.DSL.Channel.{i}.Stats.QuarterHour. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.BondingGroup.{i}.","object(0:)","R","DSL bonding group table (a stackable interface object as described in [Section 4.2/TR-181i2]). Each instance is a bonding group, and is expected to be stacked above a DSL.Channel instance or a FAST.Line instance for each bonded channel in the group.
Many of the parameters within this object, including LowerLayers, are read-only because bonding is not expected to be configured by a Controller.
The DSL bonding data model is closely aligned with [TR-159]. Corresponds to [TR-159] oBondingGroup.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name, or with a given value for GroupID.","-","2.0"
"Device.DSL.BondingGroup.{i}.BondedChannel.{i}.","object(0:)","R","DSL bonded channel table. Each table entry represents a bonded channel within the bonding group, and is associated with exactly one DSL.Channel instance or one FAST.Line instance. There MUST be an instance of Device.DSL.BondingGroup.{i}.BondedChannel.{i}. for each DSL channel or FAST line that is bonded.
When a DSL.Channel or FAST.Line is no longer bonded, then the CPE MUST delete the corresponding Device.DSL.BondingGroup.{i}.BondedChannel.{i}. instance. However, when a bonded DSL.Channel or FAST.Line becomes disabled, the channel remains bonded and so the corresponding Device.DSL.BondingGroup.{i}.BondedChannel.{i}. instance MUST NOT be deleted.
At most one entry in this table can exist with a given value for Alias, or with a given value for Channel.","-","2.0"
"Device.DSL.BondingGroup.{i}.BondedChannel.{i}.Ethernet.","object","R","Per-channel [G.998.2] Ethernet-based bonding parameters.","-","2.0"
"Device.DSL.BondingGroup.{i}.BondedChannel.{i}.Ethernet.Stats.","object","R","Per-channel [G.998.2] Ethernet-based bonding statistics.
These relate to the [G.998.2] PME (Physical Medium Entity) Aggregation Function (PAF) lower layer (per-channel) interfaces.
The CPE MUST reset the Stats parameters either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DSL.BondingGroup.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DSL.BondingGroup.{i}.Stats.Total.","object","R","Total statistics for this bonding group.
Note: The Device.DSL.BondingGroup.{i}.Stats.Total. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.BondingGroup.{i}.Stats.CurrentDay.","object","R","Current day statistics for this bonding group.
Note: The Device.DSL.BondingGroup.{i}.Stats.CurrentDay. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.BondingGroup.{i}.Stats.QuarterHour.","object","R","Current quarter hour statistics for this bonding group.
Note: The Device.DSL.BondingGroup.{i}.Stats.QuarterHour. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.0"
"Device.DSL.BondingGroup.{i}.Ethernet.","object(0:1)","R","Ethernet-based bonding parameters [G.998.2].
This object MUST be present if, and only if, BondScheme is Ethernet.
This object is a member of a union, i.e., it is a member of a group of objects of which only one can exist at a given time.","-","2.0"
"Device.DSL.BondingGroup.{i}.Ethernet.Stats.","object","R","[G.998.2] Ethernet-based bonding statistics.
These relate to the [G.998.2] PME (Physical Medium Entity) Aggregation Function (PAF) and to its upper layer interface. PAF lower layer interface statistics are in the BondedChannel.{i}.Ethernet.Stats objects.
The CPE MUST reset the Stats parameters either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DSL.Diagnostics.","object","R","The DSL Diagnostics object.","-","2.0"
"Device.FAST.","object","R","This object models FAST (defined in ITU Recommendation [G.9701]) lines. Each Line models a layer 1 FAST Line interface.","-","2.11"
"Device.FAST.Line.{i}.","object(0:)","R","FAST Line table (a stackable interface object as described in [Section 4.2/TR-181i2]).
This table models physical FAST lines.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.11"
"Device.FAST.Line.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.11"
"Device.FAST.Line.{i}.Stats.Total.","object","R","This object contains DSL line total statistics.
Note: The Device.FAST.Line.{i}.Stats.Total. parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.11"
"Device.FAST.Line.{i}.Stats.Showtime.","object","R","This object contains FAST line statistics since the most recent showtime.
Note: The Total parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.11"
"Device.FAST.Line.{i}.Stats.LastShowtime.","object","R","This object contains FAST line statistics since the second most recent showtime.
Note: The Total parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.11"
"Device.FAST.Line.{i}.Stats.CurrentDay.","object","R","This object contains FAST line statistics accumulated during the current day.
Note: The Total parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.11"
"Device.FAST.Line.{i}.Stats.QuarterHour.","object","R","This object contains FAST line statistics accumulated during the current quarter hour.
Note: The Total parameters SHOULD NOT be reset when the interface statistics are reset via an interface disable / enable cycle.","-","2.11"
"Device.FAST.Line.{i}.TestParams.","object","R","This object contains the FAST line test parameters that are available during the L0 (i.e., Showtime) state.","-","2.11"
"Device.Optical.","object","R","This object models a generic optical interface. It defines an Interface object that models a layer 1 optical interface that is capable of transporting Ethernet packets. For historical reasons, the data model definition is based on parts of [G.988]. However, it is not intended to model anything specific to IEEE PON or ITU-T PON technologies.
Note that this object is not intended to model the optical transceiver either.","-","2.4"
"Device.Optical.Interface.{i}.","object(0:)","R","Optical interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models physical optical interfaces.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.4"
"Device.Optical.Interface.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.4"
"Device.Cellular.","object","R","This object models cellular interfaces and access points.","-","2.8"
"Device.Cellular.Interface.{i}.","object(0:)","R","Cellular interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). Each instance of this object models a cellular modem with a single radio and a single USIM.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.8"
"Device.Cellular.Interface.{i}.USIM.","object","R","USIM (Universal Subscriber Identity Module or SIM card) parameters for the interface.","-","2.8"
"Device.Cellular.Interface.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.8"
"Device.Cellular.AccessPoint.{i}.","object(0:)","W","Cellular Access Point table. Each entry is identified by an APN (Access Point Name) that identifies a gateway between the mobile network and another computer network.
At most one entry in this table can exist with a given value for Alias, or with a given value for APN, or with a given value for Interface. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias, APN and Interface such that the new entry does not conflict with any existing entries.","-","2.8"
"Device.ATM.","object","R","Asynchronous Transfer Mode (ATM) object that contains the Link interface and {{object: referenced Diagnostics.F5Loopback() is command, not object}} diagnostics.","-","2.0"
"Device.ATM.Link.{i}.","object(0:)","W","ATM link-layer table (a stackable interface object as described in [Section 4.2/TR-181i2]). Models an ATM PVC virtual circuit and the ATM Adaption Layer (AAL). An ATM Link entry is typically stacked on top of either a DSL.Channel. or a DSL.BondingGroup. object.
When an ATM Link interface is used, a lower-layer DSL.Channel interface MUST be configured with ATM encapsulation (see DSL.Channel.{i}.LinkEncapsulationUsed).
At most one entry in this table can exist with a given value for Alias, or with a given value for Name. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Name such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.ATM.Link.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.ATM.Link.{i}.QoS.","object","R","The ATM Link QoS object.","-","2.0"
"Device.ATM.Diagnostics.","object","R","The ATM Diagnostics object.","-","2.0"
"Device.DOCSIS.","object","R","DOCSIS object. This object models the DOCSIS 3.x cable interface objects.","-","2.15"
"Device.DOCSIS.Downstream.{i}.","object(0:)","R","DOCSIS Downstream interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models the PHY DOCSIS Downstream interface.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DOCSIS.Downstream.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DOCSIS.Upstream.{i}.","object(0:)","R","DOCSIS Upstream interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models the PHY DOCSIS Upstream interface.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DOCSIS.Upstream.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DOCSIS.DownstreamChannel.{i}.","object(0:)","R","[docsIfDownstreamChannelTable/1.3.6.1.2.1.10.127.1.1.1.1] This table describes the attributes of downstream channels (frequency bands).
See [Tables 6-16, and 6-17/CM-SP-RFIv2.0].
At most one entry in this table can exist with a given value for Alias.","-","2.0"
"Device.DOCSIS.DownstreamChannel.{i}.SignalQuality.","object","R","[docsIfSignalQualityTable/1.3.6.1.2.1.10.127.1.1.4.1] Describes the PHY signal quality of downstream channels.","-","2.0"
"Device.DOCSIS.DownstreamChannel.{i}.SignalQualityExt.","object","R","[docsIf3SignalQualityExtTable/1.3.6.1.4.1.4491.2.1.20.1.24.1] Describes the received modulation error ratio of each downstream channel.","-","2.0"
"Device.DOCSIS.UpstreamChannel.{i}.","object(0:)","W","[docsIfUpstreamChannelTable/1.3.6.1.2.1.10.127.1.1.2.1] This table describes the attributes of attached upstream channels.
At most one entry in this table can exist with a given value for Alias. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose an initial value for Alias such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.DOCSIS.UpstreamChannel.{i}.Status.","object","R","[docsIf3CmStatusUsTable/1.3.6.1.4.1.4491.2.1.20.1.2.1] This object provides Upstream channel information previously available in the SNMP table docsIfCmStatusTable.","-","2.0"
"Device.DOCSIS.Interface.{i}.","object(0:)","R","DOCSIS Layer 2 (MAC) interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models the MAC level DOCSIS interface.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.DOCSIS.Interface.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.DOCSIS.Interface.{i}.ConnectivityStatus.","object","R","[docsIf3CmStatusTable/1.3.6.1.4.1.4491.2.1.20.1.1.1] This object defines attributes of the CM connectivity status. This object provides CM connectivity status information of the CM previously available in the SNMP table docsIfCmStatusTable.
See [RFC4546].","-","2.0"
"Device.DOCSIS.SpectrumAnalysis.","object","R","","-","2.0"
"Device.DOCSIS.SpectrumAnalysis.Result.{i}.","object(0:)","R","[docsIf3CmSpectrumAnalysisMeasTable/1.3.6.1.4.1.4491.2.1.20.1.35.1] This table provides a list of spectral analysis measurements as performed across a range of center frequencies. The table is capable of representing a full scan of the spectrum.
Each Device.DOCSIS.SpectrumAnalysis.Result.{i}. instance represents the spectral analysis around a single center frequency point in the spectrum.
At most one entry in this table can exist with a given value for Frequency.","-","2.0"
"Device.PTM.","object","R","Packet Transfer Mode ([Annex H/G.993.1]). This object contains the Link interface.","-","2.0"
"Device.PTM.Link.{i}.","object(0:)","W","PTM link-layer table (a stackable interface object as described in [Section 4.2/TR-181i2]). Models a layer 2 variable-sized packet interface. A PTM Link entry is typically stacked on top of either a FAST.Line., DSL.Channel., or a DSL.BondingGroup. object.
When a PTM Link interface is used, a lower-layer DSL.Channel interface MUST be configured with PTM encapsulation (see DSL.Channel.{i}.LinkEncapsulationUsed).
At most one entry in this table can exist with a given value for Alias, or with a given value for Name. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Name such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.PTM.Link.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.Ethernet.","object","R","Ethernet object. This object models several Ethernet interface objects, each representing a different stack layer, including: Interface, Link, and VLANTermination. Interface is media-specific and models a port, the PHY layer, and the Channel Access Method (CAM) part of the MAC layer. Link is media-independent and models the Logical Link Control (LLC) layer. An “outer” VLANTermination, when present, is expected to be stacked on top of Link objects to receive and send frames with a configured VLANID.","-","2.0"
"Device.Ethernet.Interface.{i}.","object(0:)","R","Ethernet interface table (a stackable interface object as described in [Section 4.2/TR-181i2]). This table models physical Ethernet ports, but in terms of the interface stack it only models the PHY and Connection Access Method of the Ethernet interface MAC. A {{object: argument unnecessary when referring to current object}} is also required to model a full Ethernet device.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name.","-","2.0"
"Device.Ethernet.Interface.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.Ethernet.Link.{i}.","object(0:)","W","Ethernet link layer table (a stackable interface object as described in [Section 4.2/TR-181i2]). Table entries model the Logical Link Control (LLC) layer. It is expected that an Ethernet Link interface can be stacked above any lower-layer interface object capable of carrying Ethernet frames.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name, or with a given value for MACAddress. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias, Name and MACAddress such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Ethernet.Link.{i}.Stats.","object","R","Throughput statistics for this link.
The CPE MUST reset the link’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the link becomes operationally down due to a previous administrative down (i.e. the link’s Status parameter transitions to a down state after the link is disabled) or when the link becomes administratively up (i.e. the link’s Enable parameter transitions from false to true). Administrative and operational link status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
"Device.Ethernet.VLANTermination.{i}.","object(0:)","W","VLAN Termination table (a stackable interface object as described in [Section 4.2/TR-181i2]). A VLAN Termination entry is typically stacked on top of a Link object to receive and send frames with the configured VLANID.
At most one entry in this table can exist with a given value for Alias, or with a given value for Name. On creation of a new table entry, the Agent MUST (if not supplied by the Controller on creation) choose initial values for Alias and Name such that the new entry does not conflict with any existing entries.","-","2.0"
"Device.Ethernet.VLANTermination.{i}.Stats.","object","R","Throughput statistics for this interface.
The CPE MUST reset the interface’s Stats parameters (unless otherwise stated in individual object or parameter descriptions) either when the interface becomes operationally down due to a previous administrative down (i.e. the interface’s Status parameter transitions to a down state after the interface is disabled) or when the interface becomes administratively up (i.e. the interface’s Enable parameter transitions from false to true). Administrative and operational interface status is discussed in [Section 4.2.2/TR-181i2].","-","2.0"
